Country,continent,City,State,Latitude,Longitude,Condition,Min_Temperature,Max_Temperature,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million
Brazil,South America,Acrelândia,Acre,-9.98045000,-66.84388000,overcast clouds,22.11,22.11,37511921.0,0.0,702116.0,0.0,178367.94,3338.538
Brazil,South America,Brasiléia,Acre,-11.01611000,-68.74806000,overcast clouds,24.19,24.19,37511921.0,0.0,702116.0,0.0,178367.94,3338.538
Brazil,South America,Bujari,Acre,-9.57859000,-68.17197000,few clouds,22.88,22.88,37511921.0,0.0,702116.0,0.0,178367.94,3338.538
Brazil,South America,Capixaba,Acre,-10.48782000,-67.84831000,broken clouds,21.14,21.14,37511921.0,0.0,702116.0,0.0,178367.94,3338.538
Brazil,South America,Cruzeiro do Sul,Acre,-7.62759000,-72.67756000,broken clouds,16.38,16.38,37511921.0,0.0,702116.0,0.0,178367.94,3338.538
Brazil,South America,Epitaciolândia,Acre,-10.93542000,-68.44411000,overcast clouds,24.19,24.19,37511921.0,0.0,702116.0,0.0,178367.94,3338.538
Brazil,South America,Feijó,Acre,-8.16540000,-70.35486000,overcast clouds,22.66,22.66,37511921.0,0.0,702116.0,0.0,178367.94,3338.538
Brazil,South America,Jordão,Acre,-9.09166000,-71.84069000,overcast clouds,21.66,21.66,37511921.0,0.0,702116.0,0.0,178367.94,3338.538
Brazil,South America,Mâncio Lima,Acre,-7.61417000,-72.89583000,overcast clouds,22.26,22.26,37511921.0,0.0,702116.0,0.0,178367.94,3338.538
Brazil,South America,Assis Brasil,Acre,-10.88334000,-70.01314000,overcast clouds,21.63,21.63,37511921.0,0.0,702116.0,0.0,178367.94,3338.538
India,Asia,Bamboo Flat,Andaman and Nicobar Islands,11.70000000,92.71667000,broken clouds,28.05,28.05,45041748.0,313.0,533623.0,0.0,31598.86,374.361
India,Asia,Port Blair,Andaman and Nicobar Islands,11.66613000,92.74635000,broken clouds,28.02,28.02,45041748.0,313.0,533623.0,0.0,31598.86,374.361
India,Asia,Addanki,Andhra Pradesh,15.81061000,79.97338000,scattered clouds,40.41,40.41,45041748.0,313.0,533623.0,0.0,31598.86,374.361
India,Asia,Adoni,Andhra Pradesh,15.62788000,77.27495000,clear sky,37.82,37.82,45041748.0,313.0,533623.0,0.0,31598.86,374.361
India,Asia,Akividu,Andhra Pradesh,16.58225000,81.38112000,broken clouds,38.09,38.09,45041748.0,313.0,533623.0,0.0,31598.86,374.361
India,Asia,Akkarampalle,Andhra Pradesh,13.65000000,79.42000000,few clouds,39.59,39.59,45041748.0,313.0,533623.0,0.0,31598.86,374.361
India,Asia,Amalapuram,Andhra Pradesh,16.57868000,82.00609000,scattered clouds,33.63,33.63,45041748.0,313.0,533623.0,0.0,31598.86,374.361
India,Asia,Nicobar,Andaman and Nicobar Islands,7.03002000,93.79028000,moderate rain,25.62,25.62,45041748.0,313.0,533623.0,0.0,31598.86,374.361
India,Asia,South Andaman,Andaman and Nicobar Islands,10.75776000,92.52136000,broken clouds,29.73,29.73,45041748.0,313.0,533623.0,0.0,31598.86,374.361
India,Asia,Akasahebpet,Andhra Pradesh,17.50455000,82.56597000,broken clouds,29.06,29.06,45041748.0,313.0,533623.0,0.0,31598.86,374.361
United States,North America,Abbeville,Alabama,31.57184000,-85.25049000,scattered clouds,19.71,19.71,103436829.0,N/A,1193165.0,619.0,302859.5,3493.546
United States,North America,Adamsville,Alabama,33.60094000,-86.95611000,clear sky,4.49,7.52,103436829.0,N/A,1193165.0,619.0,302859.5,3493.546
United States,North America,Alabaster,Alabama,33.24428000,-86.81638000,clear sky,5.72,7.96,103436829.0,N/A,1193165.0,619.0,302859.5,3493.546
United States,North America,Albertville,Alabama,34.26783000,-86.20878000,clear sky,4.89,5.94,103436829.0,N/A,1193165.0,619.0,302859.5,3493.546
United States,North America,Alexander City,Alabama,32.94401000,-85.95385000,clear sky,9.88,9.88,103436829.0,N/A,1193165.0,619.0,302859.5,3493.546
United States,North America,Alexandria,Alabama,33.77399000,-85.88552000,clear sky,18.42,18.42,103436829.0,N/A,1193165.0,619.0,302859.5,3493.546
United States,North America,Aliceville,Alabama,33.12957000,-88.15142000,clear sky,6.85,6.85,103436829.0,N/A,1193165.0,619.0,302859.5,3493.546
United States,North America,Andalusia,Alabama,31.30808000,-86.48243000,clear sky,7.23,9.97,103436829.0,N/A,1193165.0,619.0,302859.5,3493.546
United States,North America,Anniston,Alabama,33.65983000,-85.83163000,clear sky,6.60,7.76,103436829.0,N/A,1193165.0,619.0,302859.5,3493.546
United States,North America,Arab,Alabama,34.31815000,-86.49582000,clear sky,4.86,5.92,103436829.0,N/A,1193165.0,619.0,302859.5,3493.546
